Room_Area,Room_Height,Room_Volume,Occupancy,Outdoor_Temperature,Window_Area,Equipment_Load,Insulation_Level,Sun_Exposure,AC_Capacity_Ton
66,3.4,224.4,4,37,12.2,0.5,2,3,2.5
29,3.1,89.9,2,25,3.8,0.4,1,2,1.0
86,3.2,275.2,5,30,8.8,0.5,5,2,2.5
75,3.3,247.5,6,36,14.7,0.7,1,2,2.5
35,2.8,98.0,3,26,4.4,0.5,1,1,1.0
97,3.9,378.3,7,44,17.3,0.8,3,2,3.5
89,4.1,364.9,5,39,17.6,0.6,5,3,3.0
89,3.2,284.8,10,33,13.2,1.9,5,2,3.0
38,3.0,114.0,4,30,5.2,0.4,2,3,1.5
17,4.1,69.7,1,27,2.0,0.1,2,1,1.0
36,3.8,136.8,3,33,4.4,0.5,4,2,1.5
67,4.0,268.0,5,25,12.5,0.6,2,3,2.5
16,3.3,52.8,1,43,1.7,0.2,4,1,1.0
44,3.5,154.0,3,29,5.2,0.5,3,1,1.5
52,4.1,213.2,3,27,6.2,0.6,4,3,2.0
16,3.4,54.4,1,30,1.7,0.1,4,1,1.0
78,3.7,288.6,5,29,13.6,0.9,2,1,2.5
74,3.8,281.2,7,34,7.9,0.7,2,2,2.5
35,4.0,140.0,4,36,6.3,0.6,2,1,1.5
47,4.2,197.4,3,26,8.8,0.3,3,2,1.5
90,3.3,297.0,5,26,11.8,0.9,3,2,2.5
72,3.1,223.2,5,34,8.8,0.8,4,2,2.0
36,2.9,104.4,4,42,4.8,0.7,1,2,1.5
63,4.0,252.0,7,43,8.2,1.2,1,2,2.5
73,3.2,233.6,4,26,11.1,0.4,4,2,2.0
56,2.9,162.4,4,26,8.5,0.6,4,2,1.5
74,4.0,296.0,7,33,11.0,0.8,3,3,2.5
94,3.5,329.0,10,38,12.8,1.8,2,2,3.5
29,4.0,116.0,3,33,4.5,0.3,1,2,1.0
76,3.6,273.6,7,26,8.7,1.4,3,2,2.5
76,3.2,243.2,5,26,12.4,0.5,1,3,2.5
61,3.0,183.0,4,27,10.6,0.6,1,2,2.0
76,3.4,258.4,7,40,8.4,1.2,4,2,2.5
65,2.8,182.0,7,45,7.6,1.3,2,3,2.5
69,3.6,248.4,5,41,13.7,0.6,4,1,2.5
78,3.4,265.2,6,38,10.7,1.1,2,3,2.5
17,3.0,51.0,2,25,3.0,0.3,3,1,1.0
65,3.5,227.5,4,31,12.0,0.8,5,3,2.0
21,3.9,81.9,1,38,3.2,0.2,5,3,1.0
35,4.2,147.0,4,30,4.2,0.7,1,1,1.5
87,3.5,304.5,6,35,9.0,1.0,4,3,3.0
53,3.0,159.0,4,45,9.1,0.7,2,3,2.0
32,3.9,124.8,3,26,5.0,0.5,1,2,1.0
18,3.8,68.4,1,28,1.9,0.2,4,3,1.0
74,4.1,303.4,6,42,13.1,0.8,4,1,2.5
28,3.5,98.0,2,43,3.9,0.3,2,3,1.0
23,3.3,75.9,3,34,4.5,0.6,4,1,1.0
67,4.1,274.7,4,28,8.0,0.8,3,2,2.0
16,3.6,57.6,1,43,2.6,0.2,2,3,1.0
98,2.8,274.4,7,43,17.0,1.2,2,3,3.0
74,3.5,259.0,4,34,8.4,0.6,3,1,2.0
85,2.8,238.0,6,30,10.8,0.9,3,1,2.5
58,3.8,220.4,3,34,6.9,0.6,5,1,2.0
22,3.6,79.2,1,39,3.5,0.2,1,2,1.0
61,3.0,183.0,4,33,6.2,0.6,1,2,2.0
49,3.9,191.1,4,31,6.9,0.7,1,2,2.0
92,3.6,331.2,7,45,14.4,0.8,3,1,3.0
95,3.0,285.0,6,27,16.7,0.7,5,1,2.5
50,3.0,150.0,4,25,5.5,0.4,1,2,1.5
64,4.0,256.0,8,27,9.3,1.5,5,2,2.5
18,3.3,59.4,2,43,3.1,0.3,2,1,1.0
16,3.9,62.4,1,36,2.3,0.1,2,2,1.0
20,2.9,58.0,2,26,2.4,0.3,5,3,1.0
68,3.1,210.8,4,40,8.2,0.5,2,1,2.0
18,3.9,70.2,1,33,2.4,0.1,4,2,1.0
68,3.7,251.6,5,44,8.9,0.7,2,2,2.5
77,3.2,246.4,5,32,10.9,0.7,2,2,2.5
32,4.1,131.2,4,34,6.0,0.8,2,1,1.5
58,3.1,179.8,3,39,8.2,0.5,4,3,2.0
48,4.0,192.0,3,38,8.5,0.5,3,3,2.0
88,3.8,334.4,5,35,10.5,0.5,1,1,3.0
76,3.0,228.0,7,37,14.3,1.2,4,2,2.5
28,3.6,100.8,3,32,4.7,0.5,4,3,1.0
62,4.1,254.2,7,37,10.5,1.2,1,3,2.5
29,3.7,107.3,2,36,3.0,0.2,2,3,1.0
86,3.5,301.0,10,32,14.3,1.0,5,2,3.0
92,3.3,303.6,10,36,9.4,1.2,1,3,3.0
76,3.9,296.4,8,43,11.4,0.8,2,2,3.0
54,4.1,221.4,4,45,7.4,0.8,2,1,2.0
99,3.9,386.1,7,43,12.8,1.4,4,1,3.5
94,3.8,357.2,7,25,14.7,0.8,4,3,3.0
96,3.1,297.6,8,33,15.6,1.5,2,2,3.0
67,4.0,268.0,4,41,13.4,0.7,2,3,2.5
38,2.9,110.2,2,27,4.0,0.2,2,2,1.0
40,3.9,156.0,3,30,4.3,0.6,1,2,1.5
74,3.1,229.4,6,33,7.6,1.1,2,3,2.5
55,3.5,192.5,4,33,8.3,0.5,1,2,2.0
43,3.8,163.4,4,42,4.4,0.6,5,2,1.5
29,3.9,113.1,2,40,4.2,0.4,5,3,1.0
59,4.0,236.0,4,44,11.1,0.8,3,3,2.5
79,3.2,252.8,6,42,15.7,1.2,4,1,2.5
85,3.1,263.5,7,35,15.7,1.0,3,2,2.5
23,4.2,96.6,2,29,3.2,0.3,2,2,1.0
15,3.1,46.5,2,41,2.2,0.2,1,1,1.0
22,3.7,81.4,1,42,2.5,0.1,3,2,1.0
77,4.1,315.7,5,38,9.1,1.0,3,2,2.5
